universe,n,meaning,source,caveat
sgRNA library targets,12779,"Genes targeted by the CRISPRi library, by our count.",selection_funnel.csv,"The source paper reports 12,748. The 31 gene difference is UNRECONCILED and reported as such. A prior figure of 13,129 was an alias artifact from unioning two gene-symbol vocabularies, and is retracted."
measured panel genes,10282,Genes on the probe panel. NOT the transcriptome.,GWCD4i.DE_stats.h5ad via scripts/00_inspect_de_stats.py,"Every over-representation test uses this as the background, never the genome."
DE rows,33983,Perturbation-by-condition pairs in the effect matrix.,GWCD4i.DE_stats.h5ad via scripts/00_inspect_de_stats.py,"Three conditions: Rest, Stim 8 h, Stim 48 h. Not a gene count."
rankable perturbations,6371,QC-passing Stim48hr perturbations used for ranking.,window_score.csv,The denominator for every rank quoted in this report.
evidence-floor passers,286,Perturbations suppressing >= 3 EFFECTOR-module genes at FDR 0.10.,window_score.csv (~fail_evidence),"The effector module, NOT the co-inhibitory module. The two are disjoint by construction."
screen-passing genes,214,Pass the evidence floor AND are not top-quartile co-inhibitory suppressors.,window_score.csv (safe),"The CSV column is named `safe`. It means screen-passing, not organism-safe. The assay cannot see therapeutic safety."
curated immunomodulator rows,46,All rows in the ground-truth file.,immunomodulator_targets.csv,"Includes excluded rows (agonists, drug-binding chaperones)."
curated positives,36,Rows flagged include_as_positive.,immunomodulator_targets.csv,The evaluation set. Fixed a priori (RULE #4).
assay-visible positives,20,Curated positives that are rankable in this screen.,window_score.csv INTERSECT ground truth,"The correct denominator for recovery. The rest are invisible by construction: TCR-only stimulation hides cytokine-signalling targets, and JAK1/JAK3 were never perturbed."
positives among screen-passing genes,4,Curated positives that clear the triage layer.,window_score.csv,Only this many. It is the hard power ceiling on any recovery test conditioned on the screen gate.
recovered approved-drug targets,6,Approved-drug targets present among the screen-passing genes.,final_shortlist.csv (is_known_drug),NOT a subset of the curated positives. CD2 and CD28 were deliberately held OUT of the ground truth (RULE #4). '6 recovered' is an annotation; '5 of 20 above chance' is the test.
nomination candidates,206,"Screen-passing, not a known drug, not direction-discordant.",nomination_rule_sensitivity.csv,The input to any nomination rule.
old-rule nominations,1,What `supported & lof_tolerant & tractable` returned.,nomination_rule_sensitivity.csv,"One gene, ICAM2. This is the number N20 rejected."
rebuilt nomination pool,91,Screen gate AND structurally tractable AND not direction-discordant.,nomination_recalibrated.csv,"Exploratory repair, not confirmatory discovery. These are ranked hypotheses with named liabilities, not candidates in the drug-discovery sense."
direction-adjudicable genes,23,Screen-passing genes with any direction verdict.,direction_of_effect.csv,All of them required prior characterisation.
direction-unmeasured genes,191,Screen-passing genes with no direction verdict.,direction_of_effect.csv,"Absence of a measurement, NOT evidence of a favourable direction. Missingness is not random."
