gene_name,tier,nomination_rank,ot_genetic_supported,ot_genetic_max,is_negative_regulator,is_iei,has_lof_drug,has_gof_drug,ot_action_types,direction_verdict,direction_basis
CD2,1,1,True,0.6800389834936047,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
CD28,1,2,True,0.7200950933942434,False,True,True,True,"AGONIST,ANTAGONIST",CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
ICAM2,1,3,True,0.282843653978389,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PTPN2,1,4,True,0.762018770396247,True,False,False,False,,DISCORDANT,canonical negative regulator of T-cell activation
IL4R,1,5,True,0.922852314144292,False,False,True,False,"ANTAGONIST,BINDING AGENT",CONCORDANT,approved LoF-mimicking drug (OT actionType)
PTPRC,2,6,True,0.8257694520405896,False,True,True,False,BINDING AGENT,CONCORDANT,approved LoF-mimicking drug (OT actionType)
BATF,2,7,True,0.57567866228703,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RTRAF,2,8,True,0.5103230123590625,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TBX21,2,9,True,0.6228324218591725,False,True,False,False,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
BHLHE40,2,10,True,0.6880738297889575,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SIK3,2,11,True,0.3409022846487999,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MEN1,2,12,True,0.3368520893497467,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
STAT3,2,13,True,0.7757925671777649,False,True,True,False,ANTISENSE INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
UFM1,2,14,True,0.1020107567411185,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
USP24,2,15,True,0.3458807395917997,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
METTL1,2,16,True,0.1208735564166393,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
WAPL,2,17,True,0.4165393111276245,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SMAD4,2,18,True,0.3748776680850805,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
BRPF1,2,19,True,0.1898452316899406,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MALT1,2,20,True,0.5557747588892444,False,True,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
BRD1,2,21,True,0.2399149086037292,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
HDAC7,2,22,True,0.7433455696392026,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
PDSS1,2,23,True,0.260541515360058,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TNPO1,2,24,True,0.4844792008072639,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MTRR,2,25,True,0.2189008970249991,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SEL1L,2,26,True,0.3458807395917997,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DR1,2,27,True,0.3026032940728855,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COMMD7,2,28,True,0.1343905001643668,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MED13,2,29,True,0.5472390539660802,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
FOSL2,2,30,True,0.7486099105998748,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SGF29,2,31,True,0.2487387988438416,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
LIG3,2,32,True,0.1151693162437684,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
DDX39B,2,33,True,0.2076867336007092,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COG6,2,34,True,0.6546775918977833,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ZNF644,2,35,True,0.2235476338411937,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PTEN,2,36,True,0.3428301945795701,False,True,False,False,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
ARPC2,2,37,True,0.3797538774146153,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
AEBP2,2,38,True,0.2932639141542026,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SMG7,2,39,True,0.4117676988491632,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TBL1XR1,2,40,True,0.8215243810056689,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PPP2R2A,2,41,True,0.4140901661120414,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
EGR2,2,42,True,0.6267582177882558,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
STAT5A,2,43,True,0.1220142227114484,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TPST2,2,44,True,0.3888460867206413,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CCNC,2,45,True,0.1255725876038873,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CEP43,2,46,True,0.6608165979654756,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CASC3,2,47,True,0.1538848353261321,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
STAT6,2,48,True,0.7433566017524011,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
FOXO1,2,49,True,0.5070759194871427,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CD3E,3,50,False,0.0,False,True,True,False,"BINDING AGENT,CROSS-LINKING AGENT,INHIBITOR,OTHER",CONCORDANT,approved LoF-mimicking drug (OT actionType)
TAF13,3,51,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MED23,3,52,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PRKAR1A,3,53,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
KRR1,3,54,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
C11orf54,3,55,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ENO1,3,56,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CAMSAP1,3,57,False,0.0365924383193484,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
LRPPRC,3,58,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ZNF649,3,59,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
UBR4,3,60,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
HCCS,3,61,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CFAP20,3,62,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RHOF,3,63,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COMMD10,3,64,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PGS1,3,65,False,0.031132663057395,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RBCK1,3,66,False,0.0,False,True,False,False,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction
CCNT1,3,67,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RICTOR,3,68,False,0.038249902710691,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
IMPDH2,3,69,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
MMAB,3,70,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CRLS1,3,71,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATP5PO,3,72,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TOMM70,3,73,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SCAF4,3,74,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
IBA57,3,75,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
USP22,3,76,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TIAL1,3,77,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
BRAT1,3,78,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
RNF20,3,79,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
EML2,3,80,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
COMMD8,3,81,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
PGK1,3,82,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CNOT4,3,83,False,0.0411294945074996,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
C1D,3,84,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
POLG,3,85,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ATXN7L3,3,86,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NDUFB4,3,87,False,0.0,False,False,True,False,INHIBITOR,CONCORDANT,approved LoF-mimicking drug (OT actionType)
TFB1M,3,88,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
FAM98B,3,89,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
UNC45A,3,90,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TMEM126B,3,91,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
NCAPG2,3,92,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
CARS2,3,93,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SRR,3,94,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
TWNK,3,95,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
SMG1,3,96,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
VARS2,3,97,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GAS2L1,3,98,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
ACAD9,3,99,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
MIPEP,3,100,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
GAB2,3,101,False,0.0,False,False,False,False,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)"
