nomination_rank,tier,gene_name,direction_verdict,direction_basis,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,lof_tolerant,modality,sm_pocket,clinical_precedent,viability_tier,housekeeping,window_rank,efficacy,n_module_down,il2_hit,liabilities
1,A: concordant + genetically supported,PTPRC,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.8257694520405896,7.0,0.343,1.2399e-11,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,True,non-depleting,False,2136,0.1133854066204864,4,True,LoF-intolerant; concordant only because an inhibitor already exists
2,A: concordant + genetically supported,STAT3,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.7757925671777649,8.0,0.11,1.0410999999999999e-22,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,depleting-at-rest,False,38,0.6414788489642478,12,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; no pocket and no clinical precedent; concordant only because an inhibitor already exists
3,A: concordant + genetically supported,HDAC7,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.7433455696392026,6.0,0.344,4.2086e-09,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,True,non-depleting,False,322,0.5287483246884581,3,False,LoF-intolerant; perturbs the resting arm; concordant only because an inhibitor already exists
4,A: concordant + genetically supported,MALT1,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.5557747588892444,1.0,0.581,0.36491,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,True,depleting-at-rest,False,244,0.6177352147612112,10,False,LoF-intolerant; depleting-at-rest; concordant only because an inhibitor already exists
5,A: concordant + genetically supported,PTEN,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,0.3428301945795701,2.0,0.686,0.95031,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,2099,0.2823299860282686,3,False,LoF-intolerant; perturbs the resting arm; no pocket and no clinical precedent; concordant only because an inhibitor already exists
6,A: concordant + genetically supported,MEN1,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.3368520893497467,1.0,0.206,1.5823e-10,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,True,depleting-at-rest,False,24,0.7869262155125736,9,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; concordant only because an inhibitor already exists
7,"B: concordant, no autoimmune genetics",CREBBP,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0742722696150896,0.0,0.101,2.6588999999999997e-46,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,True,non-depleting,False,562,0.6597557267738134,13,False,LoF-intolerant; perturbs the resting arm; concordant only because an inhibitor already exists
8,"B: concordant, no autoimmune genetics",NDUFB4,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0,,1.134,0.89963,True,knockout- or degrader-tolerable,False,True,non-depleting,True,124,0.6045556497959416,5,False,perturbs the resting arm; housekeeping or respiratory-chain gene; concordant only because an inhibitor already exists
9,"B: concordant, no autoimmune genetics",NDUFS8,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0,,0.776,0.95672,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,True,depleting-at-rest,True,899,0.243358012019765,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; housekeeping or respiratory-chain gene; concordant only because an inhibitor already exists
10,"B: concordant, no autoimmune genetics",NDUFAF3,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0,,1.221,0.77343,True,knockout- or degrader-tolerable,False,True,non-depleting,True,1182,0.2906646929728305,4,False,housekeeping or respiratory-chain gene; concordant only because an inhibitor already exists
11,"B: concordant, no autoimmune genetics",PARP2,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0,,1.038,0.89743,True,knockout- or degrader-tolerable,True,True,depleting-at-rest,False,3791,0.5763523101397117,3,False,depleting-at-rest; concordant only because an inhibitor already exists
12,"B: concordant, no autoimmune genetics",PDPK1,CONCORDANT,approved LoF-mimicking drug (OT actionType),0.0,,0.333,0.0003019,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,True,depleting-at-rest,False,4617,0.4499669365739371,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; concordant only because an inhibitor already exists
13,"B: concordant, no autoimmune genetics",ERCC4,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,0.0,,0.985,0.94914,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",True,False,depleting-at-rest,False,3798,0.2655876496224381,4,False,LoF-intolerant; perturbs the resting arm; depleting-at-rest; concordant only because an inhibitor already exists
14,"C: direction unknown, genetically supported",STAT6,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",0.7433566017524011,2.0,0.516,0.45021,False,"inhibitor only, needs a therapeutic window (LoF-intolerant)",False,False,non-depleting,False,5734,-0.0358337538398091,5,False,LoF-intolerant; no pocket and no clinical precedent
